Instrument,sep_index,pp_index,cdaw_sep_id,timestamp,cdaw_start_time,cdaw_max_time,cdaw_evn_max,cme_id,cme_launch_time,cme_1st_app_time,lasco_cme_width,p_cme_width,lasco_linear_speed,p_cme_speed,fl_id,fl_start_time,fl_peak_time,fl_rise_time,fl_lon,fl_lat,fl_goes_class,noaa_ar,noaa_ar_uncertain,harpnum,noaa_pf10MeV,ppf_gt10MeV,ppf_gt30MeV,ppf_gt60MeV,ppf_gt100MeV,fluence_gt10MeV,fluence_gt30MeV,fluence_gt60MeV,fluence_gt100MeV,gsep_pf_gt10MeV,gsep_max_time,m_type2_onset_time,dh_type2_onset_time,noaa-sep_flag,Inst_category,Comments,Notes,Fe_e_p_shock_notes,gsep_notes,slice_start,slice_end
5,gsep_001,psep_012,,2/4/86 9:25,,,,,,,,,,,,2/4/86 7:35,2/4/86 7:40,5,-21,-3,X3.0,,,,,6.27,1.82,,,141000,52200,,,8,2/4/86 11:40,,,0,S,,,,AR from LMSAL,2/3/86 21:25,2/4/86 17:45
5,gsep_002,psep_013,,2/5/86 2:00,,,,,,,,,,,,2/5/86 12:37,2/5/86 12:53,16,-6,-7,M3.0,4711,FALSE,,,6.47,1.35,,,287000,,,,6.81,2/5/86 23:00,,,0,S,,,,AR from LMSAL,2/4/86 14:00,2/6/86 8:35
5,gsep_003,psep_014,,2/6/86 8:35,,,,,,,,,,,,2/6/86 6:18,2/6/86 6:25,7,2,-7,X1.7,4711,FALSE,,130,83.97,14.02,3.22,1.22,3600000,727000,197000,67000,131,2/6/86 23:00,,,1,S,,Spike,,AR from LMSAL,2/5/86 20:35,2/7/86 13:25
5,gsep_004,psep_015,,2/7/86 13:00,,,,,,,,,,,,2/7/86 10:11,2/7/86 10:29,18,21,-11,M5.2,4711,FALSE,,,125.92,25,5.56,1.53,6620000,973000,255000,93900,196,2/7/86 17:20,,,0,S,Taken by 6,,,AR from LMSAL,2/7/86 1:00,2/8/86 22:20
5,gsep_005,psep_016,,2/10/86 21:00,,,,,,,,,,,,2/10/86 20:25,2/10/86 20:48,23,32,-1,C9.5,4713,FALSE,,,5.14,1.87,0.76,0.35,271000,111000,53500,27100,5.62,2/10/86 22:50,,,0,S,,Spike,,AR from LMSAL,2/10/86 9:00,2/12/86 6:00
5,gsep_006,psep_017,,2/14/86 10:35,,,,,,,,,,,,2/14/86 9:10,2/14/86 9:21,11,76,1,M6.4,4713,FALSE,,130,166.57,17.62,3.64,1.09,12600000,1390000,371000,150000,287,2/14/86 21:10,,,1,S,,Spike,,AR from LMSAL,2/13/86 22:35,2/16/86 12:35
5,gsep_007,psep_018,,3/6/86 18:05,,,,,,,,,,,,3/6/86 16:37,3/6/86 17:02,25,-1,2,C4.6,4717,FALSE,,21,19.38,2.49,0.76,,412000,111000,55500,,32.1,3/6/86 18:45,,,1,S,,Brief data gap,,AR from LMSAL,3/6/86 6:05,3/7/86 0:05
5,gsep_008,psep_019,,5/4/86 10:45,,,,,,,,,,,,5/4/86 9:39,5/4/86 10:07,28,90,9,M1.2,4727,FALSE,,16,13.1,3.17,1.14,0.49,578000,236000,118000,61400,18.8,5/4/86 15:10,,,1,S,,,,AR from LMSAL; Flare location from Kurt et al. (2004),5/3/86 22:45,5/4/86 19:45
6,gsep_009,psep_020,,11/7/87 22:00,,,,,,,,,,,,11/7/87 20:28,11/7/87 20:30,2,90,31,M1.2,4875,FALSE,,120,78.11,3.94,,,2450000,311000,,,41,11/8/87 9:40,,,1,P,,,,AR from LMSAL,11/7/87 10:00,11/8/87 18:55
6,gsep_010,psep_021,,12/30/87 2:15,,,,,,,,,,,,12/30/87 1:42,12/30/87 1:49,7,-32,-36,C4.1,4912,FALSE,,,7.34,,,,587000,,,,2.55,12/31/87 6:00,,,0,P,,,,AR from LMSAL,12/29/87 14:15,1/1/88 0:00
